,time_period,rainfall,mean_temperature,location,disease_cases
0,2001-01,251.111,24.32,Acre,102.0
1,2001-02,230.194,24.6,Acre,102.0
2,2001-03,247.572,24.59,Acre,115.0
3,2001-04,194.169,24.62,Acre,78.0
4,2001-05,97.685,24.15,Acre,36.0
5,2001-06,60.546,22.42,Acre,32.0
6,2001-07,86.882,23.53,Acre,7.0
7,2001-08,37.802,25.65,Acre,8.0
8,2001-09,125.288,25.15,Acre,8.0
9,2001-10,177.126,25.83,Acre,22.0
10,2001-11,206.037,25.36,Acre,172.0
11,2001-12,308.816,24.93,Acre,196.0
12,2002-01,226.946,25.39,Acre,81.0
13,2002-02,262.303,25.02,Acre,170.0
14,2002-03,238.798,25.14,Acre,316.0
15,2002-04,216.697,24.65,Acre,72.0
16,2002-05,125.554,24.6,Acre,36.0
17,2002-06,62.513,23.54,Acre,24.0
18,2002-07,87.491,23.73,Acre,19.0
19,2002-08,82.58,25.43,Acre,12.0
20,2002-09,108.764,25.54,Acre,14.0
21,2002-10,153.82,25.98,Acre,18.0
22,2002-11,191.571,25.24,Acre,91.0
23,2002-12,271.847,25.14,Acre,98.0
24,2003-01,273.5,25.38,Acre,240.0
25,2003-02,250.476,25.02,Acre,288.0
26,2003-03,231.799,24.88,Acre,171.0
27,2003-04,197.785,24.58,Acre,98.0
28,2003-05,123.78,24.28,Acre,47.0
29,2003-06,73.252,24.0,Acre,39.0
30,2003-07,22.247,24.4,Acre,17.0
31,2003-08,72.341,24.54,Acre,7.0
32,2003-09,144.756,24.91,Acre,8.0
33,2003-10,148.788,25.72,Acre,27.0
34,2003-11,192.608,25.21,Acre,53.0
35,2003-12,247.661,25.34,Acre,57.0
36,2004-01,222.19,25.41,Acre,89.0
37,2004-02,177.339,25.15,Acre,143.0
38,2004-03,267.115,25.05,Acre,61.0
39,2004-04,128.891,24.98,Acre,36.0
40,2004-05,72.403,23.12,Acre,67.0
41,2004-06,74.142,23.26,Acre,53.0
42,2004-07,78.683,23.35,Acre,46.0
43,2004-08,97.868,24.27,Acre,42.0
44,2004-09,107.052,25.25,Acre,95.0
45,2004-10,222.012,25.28,Acre,400.0
46,2004-11,217.384,24.99,Acre,2007.0
47,2004-12,267.937,25.01,Acre,1505.0
48,2005-01,210.048,25.69,Acre,1469.0
49,2005-02,260.84,25.1,Acre,486.0
50,2005-03,243.529,25.23,Acre,183.0
51,2005-04,191.318,24.64,Acre,49.0
52,2005-05,107.63,24.68,Acre,16.0
53,2005-06,50.406,24.56,Acre,15.0
54,2005-07,20.202,24.4,Acre,10.0
55,2005-08,51.964,26.2,Acre,5.0
56,2005-09,71.689,26.17,Acre,0.0
57,2005-10,230.567,25.51,Acre,6.0
58,2005-11,201.977,25.42,Acre,26.0
59,2005-12,229.801,25.18,Acre,262.0
60,2006-01,240.574,25.03,Acre,81.0
61,2006-02,246.254,25.08,Acre,38.0
62,2006-03,233.736,25.12,Acre,28.0
63,2006-04,176.17,24.46,Acre,31.0
64,2006-05,49.08,23.55,Acre,10.0
65,2006-06,68.151,24.37,Acre,11.0
66,2006-07,35.718,25.42,Acre,5.0
67,2006-08,49.542,26.22,Acre,2.0
68,2006-09,118.979,26.02,Acre,5.0
69,2006-10,223.299,25.76,Acre,14.0
70,2006-11,215.812,25.29,Acre,224.0
71,2006-12,234.219,25.23,Acre,196.0
72,2007-01,226.277,25.59,Acre,127.0
73,2007-02,177.236,25.93,Acre,138.0
74,2007-03,281.256,24.95,Acre,116.0
75,2007-04,186.837,24.7,Acre,101.0
76,2007-05,117.578,23.32,Acre,46.0
77,2007-06,20.816,24.57,Acre,8.0
78,2007-07,71.698,24.06,Acre,2.0
79,2007-08,38.381,25.83,Acre,3.0
80,2007-09,123.212,26.04,Acre,3.0
81,2007-10,198.869,25.6,Acre,10.0
82,2007-11,237.345,25.02,Acre,62.0
83,2007-12,295.632,24.84,Acre,71.0
84,2008-01,268.907,24.78,Acre,80.0
85,2008-02,266.329,24.71,Acre,141.0
86,2008-03,313.923,24.18,Acre,176.0
87,2008-04,210.042,24.4,Acre,189.0
88,2008-05,87.844,23.59,Acre,101.0
89,2008-06,42.102,23.27,Acre,31.0
90,2008-07,33.674,25.1,Acre,20.0
91,2008-08,44.556,26.43,Acre,46.0
92,2008-09,116.758,26.12,Acre,86.0
93,2008-10,179.166,25.87,Acre,99.0
94,2008-11,246.543,25.36,Acre,336.0
95,2008-12,296.618,24.94,Acre,643.0
96,2009-01,305.611,24.77,Acre,2919.0
97,2009-02,279.212,24.87,Acre,6004.0
98,2009-03,353.241,24.64,Acre,5001.0
99,2009-04,284.756,24.3,Acre,1376.0
100,2009-05,165.102,24.32,Acre,711.0
101,2009-06,69.543,23.32,Acre,253.0
102,2009-07,66.02,23.87,Acre,119.0
103,2009-08,65.326,25.57,Acre,91.0
104,2009-09,93.039,26.23,Acre,77.0
105,2009-10,148.198,26.39,Acre,161.0
106,2009-11,205.5,26.16,Acre,479.0
107,2009-12,314.24,25.2,Acre,1281.0
108,2010-01,217.414,25.68,Acre,3962.0
109,2010-02,274.036,25.97,Acre,7715.0
110,2010-03,247.647,25.92,Acre,6103.0
111,2010-04,121.531,25.77,Acre,3039.0
112,2010-05,106.99,24.4,Acre,1424.0
113,2010-06,30.499,24.82,Acre,849.0
114,2010-07,33.44,24.4,Acre,793.0
115,2010-08,24.28,26.63,Acre,426.0
116,2010-09,76.572,27.01,Acre,610.0
117,2010-10,217.882,26.0,Acre,1033.0
118,2010-11,241.231,25.1,Acre,3022.0
119,2010-12,190.48,25.35,Acre,5515.0
120,2011-01,236.757,25.0,Acre,8492.0
121,2011-02,258.259,24.63,Acre,4707.0
122,2011-03,321.717,24.49,Acre,2927.0
123,2011-04,204.158,24.58,Acre,1249.0
124,2011-05,85.352,24.14,Acre,334.0
125,2011-06,60.731,24.44,Acre,121.0
126,2011-07,35.683,24.75,Acre,55.0
127,2011-08,47.933,25.63,Acre,54.0
128,2011-09,145.121,26.03,Acre,38.0
129,2011-10,214.633,25.25,Acre,59.0
130,2011-11,201.393,25.49,Acre,49.0
131,2011-12,283.835,24.97,Acre,716.0
132,2012-01,306.511,24.71,Acre,393.0
133,2012-02,290.941,24.42,Acre,379.0
134,2012-03,301.756,24.55,Acre,201.0
135,2012-04,258.084,24.68,Acre,165.0
136,2012-05,121.748,24.17,Acre,168.0
137,2012-06,74.151,23.62,Acre,90.0
138,2012-07,25.579,24.12,Acre,67.0
139,2012-08,37.871,25.95,Acre,51.0
140,2012-09,115.208,26.36,Acre,39.0
141,2012-10,186.395,25.55,Acre,111.0
142,2012-11,272.71,25.62,Acre,280.0
143,2012-12,297.785,24.84,Acre,501.0
144,2013-01,324.667,25.07,Acre,714.0
145,2013-02,318.066,24.91,Acre,584.0
146,2013-03,336.252,24.99,Acre,437.0
147,2013-04,117.427,25.19,Acre,204.0
148,2013-05,113.301,24.63,Acre,95.0
149,2013-06,102.461,24.33,Acre,82.0
150,2013-07,43.859,23.74,Acre,71.0
151,2013-08,66.639,24.26,Acre,21.0
152,2013-09,108.458,25.63,Acre,23.0
153,2013-10,209.41,25.3,Acre,21.0
154,2013-11,240.909,25.05,Acre,74.0
155,2013-12,237.702,25.41,Acre,105.0
156,2014-01,321.821,24.56,Acre,330.0
157,2014-02,281.842,24.64,Acre,126.0
198,2001-01,33.255,25.56,Alagoas,658.0
199,2001-02,27.669,26.58,Alagoas,658.0
200,2001-03,61.591,25.91,Alagoas,1958.0
201,2001-04,43.929,25.25,Alagoas,3153.0
202,2001-05,36.079,25.33,Alagoas,2886.0
203,2001-06,124.344,22.95,Alagoas,628.0
204,2001-07,103.309,22.41,Alagoas,139.0
205,2001-08,75.879,21.97,Alagoas,114.0
206,2001-09,43.946,23.59,Alagoas,118.0
207,2001-10,52.355,24.79,Alagoas,178.0
208,2001-11,20.305,25.91,Alagoas,439.0
209,2001-12,56.527,25.97,Alagoas,882.0
210,2002-01,125.603,24.95,Alagoas,4457.0
211,2002-02,72.908,25.52,Alagoas,4855.0
212,2002-03,69.623,25.59,Alagoas,4111.0
213,2002-04,61.058,25.26,Alagoas,1943.0
214,2002-05,101.123,24.26,Alagoas,656.0
215,2002-06,161.556,22.81,Alagoas,229.0
216,2002-07,75.618,22.68,Alagoas,160.0
217,2002-08,71.353,22.23,Alagoas,148.0
218,2002-09,31.554,23.82,Alagoas,163.0
219,2002-10,33.814,24.62,Alagoas,148.0
220,2002-11,26.948,25.82,Alagoas,202.0
221,2002-12,34.679,26.76,Alagoas,383.0
222,2003-01,55.754,27.3,Alagoas,677.0
223,2003-02,50.087,26.07,Alagoas,919.0
224,2003-03,78.787,26.12,Alagoas,909.0
225,2003-04,38.554,26.27,Alagoas,832.0
226,2003-05,63.304,25.05,Alagoas,937.0
227,2003-06,84.123,23.48,Alagoas,657.0
228,2003-07,65.095,22.63,Alagoas,451.0
229,2003-08,47.507,23.23,Alagoas,253.0
230,2003-09,55.189,23.87,Alagoas,219.0
231,2003-10,41.301,24.88,Alagoas,254.0
232,2003-11,34.986,25.98,Alagoas,399.0
233,2003-12,22.743,26.8,Alagoas,468.0
234,2004-01,259.481,25.61,Alagoas,879.0
235,2004-02,96.29,25.35,Alagoas,609.0
236,2004-03,39.594,25.97,Alagoas,681.0
237,2004-04,50.893,25.69,Alagoas,642.0
238,2004-05,66.98,24.62,Alagoas,579.0
239,2004-06,162.329,22.77,Alagoas,186.0
240,2004-07,112.721,22.05,Alagoas,117.0
241,2004-08,69.322,22.4,Alagoas,108.0
242,2004-09,65.776,22.9,Alagoas,74.0
243,2004-10,26.28,24.94,Alagoas,133.0
244,2004-11,19.581,26.02,Alagoas,103.0
245,2004-12,12.506,26.78,Alagoas,195.0
246,2005-01,16.009,27.58,Alagoas,125.0
247,2005-02,44.28,27.12,Alagoas,504.0
248,2005-03,87.622,27.06,Alagoas,418.0
249,2005-04,53.972,25.51,Alagoas,425.0
250,2005-05,134.021,24.24,Alagoas,390.0
251,2005-06,126.931,23.28,Alagoas,234.0
252,2005-07,98.623,22.17,Alagoas,115.0
253,2005-08,82.468,22.26,Alagoas,114.0
254,2005-09,44.073,23.66,Alagoas,80.0
255,2005-10,28.668,24.97,Alagoas,92.0
256,2005-11,15.939,26.27,Alagoas,137.0
257,2005-12,63.592,25.82,Alagoas,135.0
258,2006-01,29.714,25.91,Alagoas,383.0
259,2006-02,27.389,27.23,Alagoas,431.0
260,2006-03,68.196,26.93,Alagoas,712.0
261,2006-04,93.645,25.67,Alagoas,1080.0
262,2006-05,120.595,24.2,Alagoas,671.0
263,2006-06,146.901,22.69,Alagoas,287.0
264,2006-07,118.663,22.06,Alagoas,216.0
265,2006-08,56.906,22.49,Alagoas,180.0
266,2006-09,38.489,23.69,Alagoas,115.0
267,2006-10,29.298,25.24,Alagoas,162.0
268,2006-11,26.52,26.19,Alagoas,463.0
269,2006-12,19.608,26.84,Alagoas,1054.0
270,2007-01,24.923,27.03,Alagoas,12584.0
271,2007-02,155.677,26.23,Alagoas,16456.0
272,2007-03,85.654,25.0,Alagoas,12696.0
273,2007-04,66.339,25.26,Alagoas,4799.0
274,2007-05,88.205,24.02,Alagoas,1973.0
275,2007-06,102.652,22.94,Alagoas,906.0
276,2007-07,79.088,22.3,Alagoas,1090.0
277,2007-08,90.187,21.97,Alagoas,729.0
278,2007-09,68.089,22.46,Alagoas,426.0
