time_period,rainfall,mean_temperature,disease_cases,population,location,month,ID_year,disease_cases_ma_3,rainfall_ma_3,mean_temperature_ma_3,disease_cases_lag
2001-03,61.591,25.91,1958.0,1678325.5078125,Alagoas,3,2001,1091.33,40.84,26.02,658.0
2001-04,43.929,25.25,3153.0,1678325.5078125,Alagoas,4,2001,1923.0,44.4,25.91,1958.0
2001-05,36.079,25.33,2886.0,1678325.5078125,Alagoas,5,2001,2665.67,47.2,25.5,3153.0
2001-06,124.344,22.95,628.0,1678325.5078125,Alagoas,6,2001,2222.33,68.12,24.51,2886.0
2001-07,103.309,22.41,139.0,1678325.5078125,Alagoas,7,2001,1217.67,87.91,23.56,628.0
2001-08,75.879,21.97,114.0,1678325.5078125,Alagoas,8,2001,293.67,101.18,22.44,139.0
2001-09,43.946,23.59,118.0,1678325.5078125,Alagoas,9,2001,123.67,74.38,22.66,114.0
2001-10,52.355,24.79,178.0,1678325.5078125,Alagoas,10,2001,136.67,57.39,23.45,118.0
2001-11,20.305,25.91,439.0,1678325.5078125,Alagoas,11,2001,245.0,38.87,24.76,178.0
2001-12,56.527,25.97,882.0,1678325.5078125,Alagoas,12,2001,499.67,43.06,25.56,439.0
2002-01,125.603,24.95,4457.0,1693094.203125,Alagoas,1,2002,1926.0,67.48,25.61,882.0
2002-02,72.908,25.52,4855.0,1693094.203125,Alagoas,2,2002,3398.0,85.01,25.48,4457.0
2002-03,69.623,25.59,4111.0,1693094.203125,Alagoas,3,2002,4474.33,89.38,25.35,4855.0
2002-04,61.058,25.26,1943.0,1693094.203125,Alagoas,4,2002,3636.33,67.86,25.46,4111.0
2002-05,101.123,24.26,656.0,1693094.203125,Alagoas,5,2002,2236.67,77.27,25.04,1943.0
2002-06,161.556,22.81,229.0,1693094.203125,Alagoas,6,2002,942.67,107.91,24.11,656.0
2002-07,75.618,22.68,160.0,1693094.203125,Alagoas,7,2002,348.33,112.77,23.25,229.0
2002-08,71.353,22.23,148.0,1693094.203125,Alagoas,8,2002,179.0,102.84,22.57,160.0
2002-09,31.554,23.82,163.0,1693094.203125,Alagoas,9,2002,157.0,59.51,22.91,148.0
2002-10,33.814,24.62,148.0,1693094.203125,Alagoas,10,2002,153.0,45.57,23.56,163.0
2002-11,26.948,25.82,202.0,1693094.203125,Alagoas,11,2002,171.0,30.77,24.75,148.0
2002-12,34.679,26.76,383.0,1693094.203125,Alagoas,12,2002,244.33,31.81,25.73,202.0
2003-01,55.754,27.3,677.0,1707744.796875,Alagoas,1,2003,420.67,39.13,26.63,383.0
2003-02,50.087,26.07,919.0,1707744.796875,Alagoas,2,2003,659.67,46.84,26.71,677.0
2003-03,78.787,26.12,909.0,1707744.796875,Alagoas,3,2003,835.0,61.54,26.5,919.0
2003-04,38.554,26.27,832.0,1707744.796875,Alagoas,4,2003,886.67,55.81,26.15,909.0
2003-05,63.304,25.05,937.0,1707744.796875,Alagoas,5,2003,892.67,60.22,25.81,832.0
2003-06,84.123,23.48,657.0,1707744.796875,Alagoas,6,2003,808.67,61.99,24.93,937.0
2003-07,65.095,22.63,451.0,1707744.796875,Alagoas,7,2003,681.67,70.84,23.72,657.0
2003-08,47.507,23.23,253.0,1707744.796875,Alagoas,8,2003,453.67,65.57,23.11,451.0
2003-09,55.189,23.87,219.0,1707744.796875,Alagoas,9,2003,307.67,55.93,23.24,253.0
2003-10,41.301,24.88,254.0,1707744.796875,Alagoas,10,2003,242.0,48.0,23.99,219.0
2003-11,34.986,25.98,399.0,1707744.796875,Alagoas,11,2003,290.67,43.83,24.91,254.0
2003-12,22.743,26.8,468.0,1707744.796875,Alagoas,12,2003,373.67,33.01,25.89,399.0
2004-01,259.481,25.61,879.0,1722277.21875,Alagoas,1,2004,582.0,105.74,26.13,468.0
2004-02,96.29,25.35,609.0,1722277.21875,Alagoas,2,2004,652.0,126.17,25.92,879.0
2004-03,39.594,25.97,681.0,1722277.21875,Alagoas,3,2004,723.0,131.79,25.64,609.0
2004-04,50.893,25.69,642.0,1722277.21875,Alagoas,4,2004,644.0,62.26,25.67,681.0
2004-05,66.98,24.62,579.0,1722277.21875,Alagoas,5,2004,634.0,52.49,25.43,642.0
2004-06,162.329,22.77,186.0,1722277.21875,Alagoas,6,2004,469.0,93.4,24.36,579.0
2004-07,112.721,22.05,117.0,1722277.21875,Alagoas,7,2004,294.0,114.01,23.15,186.0
2004-08,69.322,22.4,108.0,1722277.21875,Alagoas,8,2004,137.0,114.79,22.41,117.0
2004-09,65.776,22.9,74.0,1722277.21875,Alagoas,9,2004,99.67,82.61,22.45,108.0
2004-10,26.28,24.94,133.0,1722277.21875,Alagoas,10,2004,105.0,53.79,23.41,74.0
2004-11,19.581,26.02,103.0,1722277.21875,Alagoas,11,2004,103.33,37.21,24.62,133.0
2004-12,12.506,26.78,195.0,1722277.21875,Alagoas,12,2004,143.67,19.46,25.91,103.0
2005-01,16.009,27.58,125.0,1736691.28125,Alagoas,1,2005,141.0,16.03,26.79,195.0
2005-02,44.28,27.12,504.0,1736691.28125,Alagoas,2,2005,274.67,24.26,27.16,125.0
2005-03,87.622,27.06,418.0,1736691.28125,Alagoas,3,2005,349.0,49.3,27.25,504.0
2005-04,53.972,25.51,425.0,1736691.28125,Alagoas,4,2005,449.0,61.96,26.56,418.0
2005-05,134.021,24.24,390.0,1736691.28125,Alagoas,5,2005,411.0,91.87,25.6,425.0
