,max_samples,max_features,num_trees,rmse,r2
0,0.5,0.5,10,2574.8316853643164,0.470350454111823
1,0.5,0.5,50,2753.207228016311,0.40644938801992414
2,0.5,0.5,100,2699.4365442999947,0.42763158714017374
3,0.5,0.5,200,2722.7344886102833,0.41870778657811014
4,0.5,0.5,300,2684.635420508066,0.4327453291227674
5,0.75,0.5,10,2584.6098994681133,0.47288568583768287
6,0.75,0.5,50,2619.181714530943,0.4598872200260486
7,0.75,0.5,100,2553.689345637692,0.4807854194347643
8,0.75,0.5,200,2531.5135225689933,0.4903364725768924
9,0.75,0.5,300,2567.1952043199794,0.4775931102939286
10,1.0,0.5,10,2581.375214131098,0.48003861344565957
11,1.0,0.5,50,2544.099846446942,0.4886914117465492
12,1.0,0.5,100,2546.5165718859143,0.487320804804576
13,1.0,0.5,200,2508.254271341967,0.499982287695073
14,1.0,0.5,300,2543.23455323114,0.48877457608895974
15,0.5,0.75,10,2906.148125933531,0.34953576106539563
16,0.5,0.75,50,2784.731744355544,0.3924219598196285
17,0.5,0.75,100,2707.4941101996887,0.42319969679169506
18,0.5,0.75,200,2697.1153398213437,0.42927806692361736
19,0.5,0.75,300,2685.204772237961,0.43330461725992125
20,0.75,0.75,10,2743.5678794187465,0.4064132717900202
21,0.75,0.75,50,2571.0181348251363,0.47859697379248534
22,0.75,0.75,100,2550.606728835125,0.48112389862319116
23,0.75,0.75,200,2554.073782383362,0.483421401073242
24,0.75,0.75,300,2555.3822594126054,0.48143634865055007
25,1.0,0.75,10,2612.5542411768756,0.46806996184390537
26,1.0,0.75,50,2556.98329271657,0.4828112397843298
27,1.0,0.75,100,2547.9585256549444,0.4873685419677236
28,1.0,0.75,200,2534.408942206782,0.49089809103471305
29,1.0,0.75,300,2561.6459254001416,0.4823239768798834
30,0.5,1.0,10,2814.186885677962,0.37586073744031795
31,0.5,1.0,50,2712.1642999084097,0.42540372913906477
32,0.5,1.0,100,2642.7447663721696,0.4477968338942145
33,0.5,1.0,200,2669.5313183281396,0.4355804546675957
34,0.5,1.0,300,2689.8660988201045,0.4303725090152033
35,0.75,1.0,10,2554.7431838895736,0.48097711414130523
36,0.75,1.0,50,2546.094760693359,0.4865675807087668
37,0.75,1.0,100,2523.7836640920377,0.49283277994347124
38,0.75,1.0,200,2579.2834581734305,0.47293618545152655
39,0.75,1.0,300,2550.9287184906093,0.4822798313104178
40,1.0,1.0,10,2563.0906683924245,0.4826639291434523
41,1.0,1.0,50,2581.858792369248,0.47329002389622765
42,1.0,1.0,100,2549.7012280300028,0.48317612707138047
43,1.0,1.0,200,2523.8852329388073,0.4956651499925949
44,1.0,1.0,300,2542.8399152300562,0.48785685878175267
