,max_depth,min_samples_split,num_trees,rmse,r2
0,5,5,10,2500.0981811275124,0.49903545204443484
1,5,5,50,2498.025855549808,0.5016857617489916
2,5,5,100,2507.7383511349326,0.49733959157464386
3,5,5,200,2493.1783487822386,0.5031099860875714
4,5,5,300,2499.9134726692,0.5012602870686378
5,5,10,10,2459.35649183944,0.5127814507984607
6,5,10,50,2548.947448672163,0.48330075720894095
7,5,10,100,2536.276828653728,0.48561823644522256
8,5,10,200,2542.5332618625225,0.4840185395047196
9,5,10,300,2544.715764164364,0.48340317308460845
10,5,15,10,2634.833217155087,0.4407710949650232
11,5,15,50,2675.048898653436,0.43562531640229424
12,5,15,100,2647.918993270461,0.44484840334638187
13,5,15,200,2656.3359666748047,0.4428717192603339
14,5,15,300,2651.2612694481522,0.4450138834521055
15,10,5,10,2553.6225941564076,0.4782899321532418
16,10,5,50,2502.4413388070334,0.499193519800336
17,10,5,100,2512.8019394693647,0.4950766031358883
18,10,5,200,2495.754636029554,0.5017750826293306
19,10,5,300,2499.028742082041,0.5011582952168663
20,10,10,10,2486.4694047195026,0.5043868083006131
21,10,10,50,2552.527988454196,0.48216537638251034
22,10,10,100,2541.5758601948405,0.484229411586643
23,10,10,200,2542.292684119197,0.48423302922453626
24,10,10,300,2545.49042617954,0.4833209154366052
25,10,15,10,2635.1812649891367,0.4406592461423362
26,10,15,50,2674.611424796215,0.4357753853404964
27,10,15,100,2647.2873120258278,0.44503274295339335
28,10,15,200,2655.833886867735,0.44302655008029435
29,10,15,300,2651.3947642258404,0.44495591569015475
30,15,5,10,2540.895863490424,0.48315261672621745
31,15,5,50,2498.62471749445,0.5003977311609562
32,15,5,100,2509.338850339159,0.4962147779853927
33,15,5,200,2494.852465629792,0.5021886086150054
34,15,5,300,2499.2075333408716,0.5011831327794696
35,15,10,10,2486.4694047195026,0.5043868083006131
36,15,10,50,2552.6186134313834,0.4821357191413186
37,15,10,100,2541.73890479073,0.4841765763615685
38,15,10,200,2541.2857925978888,0.4845589294121
39,15,10,300,2544.8135996635942,0.4835390714138828
40,15,15,10,2635.1812649891367,0.4406592461423362
41,15,15,50,2674.611424796215,0.4357753853404964
42,15,15,100,2647.2882672465935,0.4450324213265499
43,15,15,200,2655.834308736787,0.4430264078783283
44,15,15,300,2651.395030782187,0.44495582637407366
