,lmb,poly_degree,rmse,r2
0,0.0001,1,2039.2619523776589,0.6841089524594194
1,0.0001,3,23773.272650923598,-48.331433657280925
2,0.0001,5,222413.91285421682,-3781.5209065829704
3,0.0001,7,2288065.536117094,-521458.73426138266
4,0.0001,9,33780339.70468335,-130336879.00969872
5,0.001,1,2038.988757716749,0.6841937020331657
6,0.001,3,21365.611530024027,-35.545199757379514
7,0.001,5,217048.6515802233,-3629.0241233233155
8,0.001,7,2280390.4831618336,-520408.0683805555
9,0.001,9,33080786.83672202,-129757260.74041957
10,0.01,1,2036.9960662597732,0.6848120336904671
11,0.01,3,15670.613272260083,-18.484733309492583
12,0.01,5,190725.3329130451,-3029.850567657988
13,0.01,7,2234725.6071380796,-513197.2644896826
14,0.01,9,33018889.88672661,-129186837.065409
15,0.1,1,2045.9200890713778,0.6821140803593173
16,0.1,3,9519.18297493792,-6.781586323818812
17,0.1,5,158599.82506314182,-2246.4923072247225
18,0.1,7,2092140.3584157182,-464265.57327348756
19,0.1,9,32105517.63525013,-122190953.94429284
